ID,Asset Name,Lat,Long,Business Category,Risk Rating,RiskFactors,Year
1,"Mcknight, Beasley and Stewart",46.1351,-60.1831,Energy,0.06,"{""Earthquake"": 0.06}",2050
2,Acevedo-Kennedy,50.26729,-119.27337,Technology,0.14,"{""Extreme heat"": 0.01, ""Wildfire"": 0.04, ""Tornado"": 0.03, ""Flooding"": 0.02, ""Volcano"": 0.01, ""Hurricane"": 0.02, ""Earthquake"": 0.01}",2050
3,Ware PLC,45.44868,-73.81669,Retail,0.36,"{""Hurricane"": 0.02, ""Extreme heat"": 0.03, ""Tornado"": 0.06, ""Wildfire"": 0.02, ""Flooding"": 0.05, ""Drought"": 0.02, ""Volcano"": 0.06, ""Extreme cold"": 0.05, ""Earthquake"": 0.04, ""Sea level rise"": 0.01}",2030
4,Jones Ltd,42.8334,-80.38297,Manufacturing,0.69,"{""Drought"": 0.69}",2060
5,Willis-Newman,53.51684,-113.3187,Energy,0.46,"{""Extreme heat"": 0.03, ""Drought"": 0.0, ""Sea level rise"": 0.05, ""Earthquake"": 0.06, ""Flooding"": 0.07, ""Wildfire"": 0.09, ""Hurricane"": 0.07, ""Extreme cold"": 0.09}",2050
6,"Bender, Warren and Sanchez",45.44868,-73.81669,Healthcare,0.67,"{""Earthquake"": 0.06999999999999999, ""Sea level rise"": 0.06, ""Tornado"": 0.05, ""Drought"": 0.1, ""Wildfire"": 0.15, ""Extreme cold"": 0.04, ""Extreme heat"": 0.06, ""Volcano"": 0.11, ""Hurricane"": 0.03}",2070
7,Johnson and Sons,42.8334,-80.38297,Manufacturing,0.48,"{""Sea level rise"": 0.07, ""Wildfire"": 0.1, ""Hurricane"": 0.31}",2030
8,"Mejia, Roberts and Gay",46.1351,-60.1831,Energy,0.02,"{""Volcano"": 0.0, ""Hurricane"": 0.0, ""Drought"": 0.0, ""Tornado"": 0.01, ""Extreme heat"": 0.01}",2050
9,Flynn-Anderson,45.40008,-73.58248,Finance,0.6,"{""Extreme heat"": 0.56, ""Hurricane"": 0.04}",2030
10,Thomas-Chavez,42.8334,-80.38297,Finance,0.85,"{""Earthquake"": 0.04, ""Tornado"": 0.13, ""Drought"": 0.11, ""Flooding"": 0.08, ""Extreme cold"": 0.08, ""Sea level rise"": 0.04, ""Wildfire"": 0.08, ""Extreme heat"": 0.14, ""Volcano"": 0.15}",2050
11,Reid PLC,45.44868,-73.81669,Energy,0.61,"{""Volcano"": 0.23, ""Drought"": 0.09, ""Hurricane"": 0.06, ""Extreme heat"": 0.06, ""Wildfire"": 0.14, ""Tornado"": 0.03}",2060
12,"Hall, Meadows and Anderson",46.1351,-60.1831,Technology,0.18,"{""Tornado"": 0.15, ""Flooding"": 0.03}",2070
13,Miller-Norris,50.26729,-119.27337,Energy,0.76,"{""Extreme cold"": 0.05, ""Volcano"": 0.1, ""Earthquake"": 0.06, ""Hurricane"": 0.11, ""Tornado"": 0.12, ""Sea level rise"": 0.04, ""Extreme heat"": 0.05, ""Drought"": 0.09, ""Wildfire"": 0.14}",2070
14,"Landry, Molina and Green",42.8334,-80.38297,Manufacturing,0.18,"{""Tornado"": 0.02, ""Extreme heat"": 0.03, ""Sea level rise"": 0.0, ""Earthquake"": 0.04, ""Hurricane"": 0.03, ""Extreme cold"": 0.03, ""Volcano"": 0.03, ""Flooding"": 0.0}",2060
15,Jones Ltd,45.43341,-73.86586,Technology,0.67,"{""Drought"": 0.09, ""Volcano"": 0.11, ""Extreme cold"": 0.03, ""Extreme heat"": 0.07, ""Flooding"": 0.09, ""Sea level rise"": 0.1, ""Hurricane"": 0.11, ""Earthquake"": 0.0, ""Tornado"": 0.07}",2050
16,Banks-Carlson,53.51684,-113.3187,Technology,0.3,"{""Volcano"": 0.12, ""Flooding"": 0.1, ""Earthquake"": 0.08}",2040
17,Acevedo-Kennedy,43.86682,-79.2663,Energy,0.05,"{""Earthquake"": 0.02, ""Sea level rise"": 0.01, ""Extreme cold"": 0.02}",2060
18,"Taylor, Mitchell and Ward",46.23899,-63.13414,Technology,0.05,"{""Flooding"": 0.0, ""Tornado"": 0.01, ""Extreme heat"": 0.01, ""Hurricane"": 0.0, ""Sea level rise"": 0.01, ""Extreme cold"": 0.01, ""Wildfire"": 0.0, ""Drought"": 0.01}",2050
19,Martin-Jenkins,46.23899,-63.13414,Technology,0.56,"{""Drought"": 0.13, ""Extreme cold"": 0.12, ""Hurricane"": 0.13, ""Wildfire"": 0.02, ""Sea level rise"": 0.01, ""Flooding"": 0.15}",2070
20,Stanton-Joyce,42.8334,-80.38297,Retail,0.4,"{""Hurricane"": 0.39, ""Volcano"": 0.01}",2030
21,Grant-Coffey,45.4473,-73.75335,Manufacturing,0.68,"{""Flooding"": 0.28, ""Hurricane"": 0.09, ""Tornado"": 0.31}",2030
22,"Mcknight, Beasley and Stewart",50.26729,-119.27337,Manufacturing,0.27,"{""Drought"": 0.03, ""Tornado"": 0.02, ""Sea level rise"": 0.04, ""Volcano"": 0.04, ""Extreme heat"": 0.05, ""Flooding"": 0.05, ""Wildfire"": 0.04}",2030
23,Alvarez Inc,46.1351,-60.1831,Retail,0.73,"{""Volcano"": 0.73}",2070
24,Banks-Carlson,42.8334,-80.38297,Manufacturing,0.02,"{""Earthquake"": 0.02, ""Drought"": 0.0, ""Tornado"": 0.0, ""Flooding"": 0.0, ""Volcano"": 0.0, ""Hurricane"": 0.0, ""Extreme cold"": 0.0, ""Wildfire"": 0.0, ""Sea level rise"": 0.0, ""Extreme heat"": 0.0}",2060
25,Strickland-Daniels,43.86682,-79.2663,Manufacturing,0.55,"{""Extreme cold"": 0.04, ""Tornado"": 0.02, ""Sea level rise"": 0.12, ""Earthquake"": 0.06, ""Hurricane"": 0.07, ""Wildfire"": 0.12, ""Volcano"": 0.02, ""Extreme heat"": 0.1}",2060
